"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","337","test_teams_no_token","tests.api","2026-07-17","passed","2026-07-17","","test_football","",""
"","564","test_match_has_status","tests.api","2026-07-17","passed","2026-07-17","","test_football","",""
"","1111","test_first_team_has_name","tests.api","2026-07-17","passed","2026-07-17","","test_football","",""
"","892","test_teams_status_code","tests.api","2026-07-17","passed","2026-07-17","","test_football","",""
"","803","test_add_to_cart","tests.ui","2026-07-17","passed","2026-07-17","","test_login","",""
"","30","test_login","tests.api","2026-07-17","passed","2026-07-17","","test_github","",""
"","37","test_create_order","tests.api","2026-07-17","passed","2026-07-17","","test_create","",""
"","478","test_world_cup_name","tests.api","2026-07-17","passed","2026-07-17","","test_football","",""
"","1089","test_teams_count","tests.api","2026-07-17","passed","2026-07-17","","test_football","",""
"","82","test_status_code","tests.api","2026-07-17","passed","2026-07-17","","test_github","",""
"","188","test_login_button_visible","tests.ui","2026-07-17","passed","2026-07-17","","test_login","",""
"","60","test_create_user","tests.api","2026-07-17","passed","2026-07-17","","test_create","",""
"","53","test_user_not_found","tests.api","2026-07-17","passed","2026-07-17","","test_github","",""
"","1428","test_successful_login","tests.ui","2026-07-17","passed","2026-07-17","","test_login","",""
"","334","test_unknown_competition","tests.api","2026-07-17","passed","2026-07-17","","test_football","",""
"","468","test_world_cup_exists","tests.api","2026-07-17","passed","2026-07-17","","test_football","",""
"","429","test_wrong_password","tests.ui","2026-07-17","passed","2026-07-17","","test_login","",""
