"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1311","test_successful_login","tests.ui","2026-08-21","passed","2026-08-21","","test_login","",""
"","130","test_user_not_found","tests.api","2026-08-21","passed","2026-08-21","","test_github","",""
"","515","test_world_cup_name","tests.api","2026-08-21","passed","2026-08-21","","test_football","",""
"","1448","test_first_team_has_name","tests.api","2026-08-21","passed","2026-08-21","","test_football","",""
"","369","test_league_exists[CL]","tests.api","2026-08-21","passed","2026-08-21","","test_football","",""
"","1225","test_la_liga_first_team_has_name","tests.api","2026-08-21","passed","2026-08-21","","test_football","",""
"","476","test_wrong_password","tests.ui","2026-08-21","passed","2026-08-21","","test_login","",""
"","256","test_login_button_visible","tests.ui","2026-08-21","passed","2026-08-21","","test_login","",""
"","124","test_create_order","tests.api","2026-08-21","passed","2026-08-21","","test_create","",""
"","383","test_league_exists[WC]","tests.api","2026-08-21","passed","2026-08-21","","test_football","",""
"","381","test_league_exists[PD]","tests.api","2026-08-21","passed","2026-08-21","","test_football","",""
"","1215","test_teams_count","tests.api","2026-08-21","passed","2026-08-21","","test_football","",""
"","828","test_premier_league_match_has_status","tests.api","2026-08-21","passed","2026-08-21","","test_football","",""
"","74","test_login","tests.api","2026-08-21","passed","2026-08-21","","test_github","",""
"","379","test_unknown_competition","tests.api","2026-08-21","passed","2026-08-21","","test_football","",""
"","177","test_create_user","tests.api","2026-08-21","passed","2026-08-21","","test_create","",""
"","938","test_add_to_cart","tests.ui","2026-08-21","passed","2026-08-21","","test_login","",""
"","51806","test_la_liga_match_has_status","tests.api","2026-08-21","broken","2026-08-21","","test_football","",""
"","137","test_status_code","tests.api","2026-08-21","passed","2026-08-21","","test_github","",""
"","538","test_match_has_status","tests.api","2026-08-21","passed","2026-08-21","","test_football","",""
"","1143","test_teams_status_code","tests.api","2026-08-21","passed","2026-08-21","","test_football","",""
"","356","test_teams_no_token","tests.api","2026-08-21","passed","2026-08-21","","test_football","",""
"","356","test_league_exists[PL]","tests.api","2026-08-21","passed","2026-08-21","","test_football","",""
"","724","test_la_liga_teams_count","tests.api","2026-08-21","passed","2026-08-21","","test_football","",""
