"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","423","test_world_cup_exists","tests.api","2026-07-15","passed","2026-07-15","","test_football","",""
"","54","test_user_not_found","tests.api","2026-07-15","passed","2026-07-15","","test_github","",""
"","43","test_create_order","tests.api","2026-07-15","passed","2026-07-15","","test_create","",""
"","326","test_unknown_competition","tests.api","2026-07-15","passed","2026-07-15","","test_football","",""
"","85","test_status_code","tests.api","2026-07-15","passed","2026-07-15","","test_github","",""
"","32","test_login","tests.api","2026-07-15","passed","2026-07-15","","test_github","",""
"","464","test_wrong_password","tests.ui","2026-07-15","passed","2026-07-15","","test_login","",""
"","409","test_world_cup_name","tests.api","2026-07-15","passed","2026-07-15","","test_football","",""
"","204","test_login_button_visible","tests.ui","2026-07-15","passed","2026-07-15","","test_login","",""
"","55","test_create_user","tests.api","2026-07-15","passed","2026-07-15","","test_create","",""
"","4491","test_successful_login","tests.ui","2026-07-15","passed","2026-07-15","","test_login","",""
