"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","77","test_status_code","tests.api","2026-08-21","passed","2026-08-21","","test_github","",""
"","689","test_la_liga_first_team_has_name","tests.api","2026-08-21","passed","2026-08-21","","test_football","",""
"","333","test_unknown_competition","tests.api","2026-08-21","passed","2026-08-21","","test_football","",""
"","2122","test_successful_login","tests.ui","2026-08-21","passed","2026-08-21","","test_login","",""
"","458","test_league_exists[PD]","tests.api","2026-08-21","passed","2026-08-21","","test_football","",""
"","895","test_la_liga_teams_count","tests.api","2026-08-21","passed","2026-08-21","","test_football","",""
"","608","test_teams_count","tests.api","2026-08-21","passed","2026-08-21","","test_football","",""
"","673","test_add_to_cart","tests.ui","2026-08-21","passed","2026-08-21","","test_login","",""
"","490","test_match_has_status","tests.api","2026-08-21","passed","2026-08-21","","test_football","",""
"","491","test_wrong_password","tests.ui","2026-08-21","passed","2026-08-21","","test_login","",""
"","48","test_create_user","tests.api","2026-08-21","passed","2026-08-21","","test_create","",""
"","648","test_teams_status_code","tests.api","2026-08-21","passed","2026-08-21","","test_football","",""
"","55","test_user_not_found","tests.api","2026-08-21","passed","2026-08-21","","test_github","",""
"","31","test_login","tests.api","2026-08-21","passed","2026-08-21","","test_github","",""
"","341","test_world_cup_name","tests.api","2026-08-21","passed","2026-08-21","","test_football","",""
"","40","test_create_order","tests.api","2026-08-21","passed","2026-08-21","","test_create","",""
"","349","test_teams_no_token","tests.api","2026-08-21","passed","2026-08-21","","test_football","",""
"","735","test_first_team_has_name","tests.api","2026-08-21","passed","2026-08-21","","test_football","",""
"","244","test_login_button_visible","tests.ui","2026-08-21","passed","2026-08-21","","test_login","",""
"","339","test_league_exists[PL]","tests.api","2026-08-21","passed","2026-08-21","","test_football","",""
"","367","test_league_exists[CL]","tests.api","2026-08-21","passed","2026-08-21","","test_football","",""
"","369","test_league_exists[WC]","tests.api","2026-08-21","passed","2026-08-21","","test_football","",""
