"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2581","test_teams_status_code","tests.api","2026-08-21","passed","2026-08-21","","test_football","",""
"","2061","test_first_team_has_name","tests.api","2026-08-21","passed","2026-08-21","","test_football","",""
"","4655","test_teams_count","tests.api","2026-08-21","passed","2026-08-21","","test_football","",""
"","1431","test_league_exists[PL]","tests.api","2026-08-21","passed","2026-08-21","","test_football","",""
"","331","test_league_exists[PD]","tests.api","2026-08-21","broken","2026-08-21","","test_football","",""
"","177","test_status_code","tests.api","2026-08-21","passed","2026-08-21","","test_github","",""
"","1360","test_successful_login","tests.ui","2026-08-21","passed","2026-08-21","","test_login","",""
"","844","test_world_cup_name","tests.api","2026-08-21","passed","2026-08-21","","test_football","",""
"","761","test_la_liga_match_has_status","tests.api","2026-08-21","passed","2026-08-21","","test_football","",""
"","575","test_teams_no_token","tests.api","2026-08-21","passed","2026-08-21","","test_football","",""
"","658","test_unknown_competition","tests.api","2026-08-21","passed","2026-08-21","","test_football","",""
"","43332","test_premier_league_match_has_status","tests.api","2026-08-21","passed","2026-08-21","","test_football","",""
"","1550","test_la_liga_teams_count","tests.api","2026-08-21","passed","2026-08-21","","test_football","",""
"","702","test_add_to_cart","tests.ui","2026-08-21","passed","2026-08-21","","test_login","",""
"","290","test_login_button_visible","tests.ui","2026-08-21","passed","2026-08-21","","test_login","",""
"","504","test_wrong_password","tests.ui","2026-08-21","passed","2026-08-21","","test_login","",""
"","103","test_create_order","tests.api","2026-08-21","passed","2026-08-21","","test_create","",""
"","1369","test_match_has_status","tests.api","2026-08-21","passed","2026-08-21","","test_football","",""
"","680","test_league_exists[WC]","tests.api","2026-08-21","passed","2026-08-21","","test_football","",""
"","125","test_create_user","tests.api","2026-08-21","passed","2026-08-21","","test_create","",""
"","74","test_login","tests.api","2026-08-21","passed","2026-08-21","","test_github","",""
"","1062","test_la_liga_first_team_has_name","tests.api","2026-08-21","passed","2026-08-21","","test_football","",""
"","1043","test_league_exists[CL]","tests.api","2026-08-21","passed","2026-08-21","","test_football","",""
"","152","test_user_not_found","tests.api","2026-08-21","passed","2026-08-21","","test_github","",""
