"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","165","test_status_code","tests.api","2026-08-22","passed","2026-08-22","","test_github","",""
"","150","test_create_order","tests.api","2026-08-22","passed","2026-08-22","","test_create","",""
"","396","test_league_exists[PD]","tests.api","2026-08-22","passed","2026-08-22","","test_football","",""
"","921","test_teams_count","tests.api","2026-08-22","passed","2026-08-22","","test_football","",""
"","437","test_teams_no_token","tests.api","2026-08-22","passed","2026-08-22","","test_football","",""
"","454","test_league_exists[CL]","tests.api","2026-08-22","passed","2026-08-22","","test_football","",""
"","1290","test_first_team_has_name","tests.api","2026-08-22","passed","2026-08-22","","test_football","",""
"","856","test_la_liga_teams_count","tests.api","2026-08-22","passed","2026-08-22","","test_football","",""
"","392","test_login_button_visible","tests.ui","2026-08-22","passed","2026-08-22","","test_login","",""
"","1031","test_successful_login","tests.ui","2026-08-22","passed","2026-08-22","","test_login","",""
"","52061","test_la_liga_match_has_status","tests.api","2026-08-22","broken","2026-08-22","","test_football","",""
"","753","test_la_liga_first_team_has_name","tests.api","2026-08-22","passed","2026-08-22","","test_football","",""
"","423","test_league_exists[PL]","tests.api","2026-08-22","passed","2026-08-22","","test_football","",""
"","551","test_league_exists[WC]","tests.api","2026-08-22","passed","2026-08-22","","test_football","",""
"","442","test_wrong_password","tests.ui","2026-08-22","passed","2026-08-22","","test_login","",""
"","474","test_match_has_status","tests.api","2026-08-22","passed","2026-08-22","","test_football","",""
"","5821","test_premier_league_match_has_status","tests.api","2026-08-22","passed","2026-08-22","","test_football","",""
"","533","test_world_cup_name","tests.api","2026-08-22","passed","2026-08-22","","test_football","",""
"","423","test_unknown_competition","tests.api","2026-08-22","passed","2026-08-22","","test_football","",""
"","116","test_user_not_found","tests.api","2026-08-22","passed","2026-08-22","","test_github","",""
"","617","test_add_to_cart","tests.ui","2026-08-22","passed","2026-08-22","","test_login","",""
"","998","test_teams_status_code","tests.api","2026-08-22","passed","2026-08-22","","test_football","",""
"","211","test_create_user","tests.api","2026-08-22","passed","2026-08-22","","test_create","",""
"","101","test_login","tests.api","2026-08-22","passed","2026-08-22","","test_github","",""
